value_loss,time_elapsed,policy_entropy,n_updates,clipfrac,total_timesteps,fps,approxkl,serial_timesteps,policy_loss,explained_variance
0.01832103,22.130606174468994,0.6931174,84,0.0,10752,493,1.2519716e-08,10752,-7.553026e-07,0.6462534368038177
0.01894577,22.391088247299194,0.69311637,85,0.0,10880,420,2.0430393e-08,10880,-3.7719728e-06,0.6462251543998718
0.015451659,22.696458101272583,0.69311285,86,0.0,11008,436,1.9120527e-08,11008,-5.641603e-06,0.6750684082508087
0.017415239,22.99167799949646,0.69310766,87,0.0,11136,520,7.848091e-08,11136,-3.0969735e-05,0.6533874869346619
0.016689016,23.23854899406433,0.6930996,88,0.0,11264,499,1.0760772e-07,11264,-5.2526593e-07,0.6680750846862793
0.014410867,23.49594497680664,0.69309705,89,0.0,11392,462,1.2203968e-08,11392,-2.6386697e-06,0.7384556829929352
0.016602226,23.773765087127686,0.69309247,90,0.0,11520,443,5.6125252e-08,11520,-3.7192134e-05,0.6745667457580566
0.01711363,24.063422918319702,0.6930816,91,0.0,11648,461,1.6204395e-07,11648,-3.846886e-05,0.6675550639629364
0.0156877,24.341655015945435,0.69307244,92,0.0,11776,462,6.8487346e-08,11776,-2.0069769e-05,0.6875306963920593
0.016356787,24.61945915222168,0.69306475,93,0.0,11904,552,8.134653e-08,11904,-3.3721677e-05,0.692836731672287
0.015793817,24.85201907157898,0.6930536,94,0.0,12032,530,1.3051167e-07,12032,-4.0109124e-05,0.7064712345600128
0.015970048,25.094138145446777,0.69304264,95,0.0,12160,477,3.019265e-08,12160,9.638956e-06,0.6931891739368439
0.013563105,25.363296031951904,0.6930403,96,0.0,12288,491,2.7782903e-08,12288,-1.5979633e-05,0.726722776889801
0.012116436,25.624979972839355,0.6930297,97,0.0,12416,363,7.619522e-08,12416,-2.1672342e-05,0.7609427273273468
0.015705198,25.978318214416504,0.6930284,98,0.0,12544,426,3.77872e-08,12544,-2.7897651e-05,0.684345543384552
0.01592222,26.27926206588745,0.6930455,99,0.0,12672,509,3.1692903e-07,12672,-0.000101732905,0.6846725046634674
0.013540883,26.53117609024048,0.6930582,100,0.0,12800,571,1.6128922e-08,12800,1.33850845e-05,0.7226414382457733
0.014869281,26.755980014801025,0.6930566,101,0.0,12928,560,6.0936616e-09,12928,6.7218207e-06,0.7276638150215149
0.01594622,26.98518705368042,0.6930647,102,0.0,13056,550,1.2199374e-07,13056,-5.098118e-05,0.7225453853607178
0.013751518,27.218605041503906,0.69307834,103,0.0,13184,575,1.9108512e-07,13184,-5.373091e-05,0.7244218587875366
0.015801754,27.44210934638977,0.6930891,104,0.0,13312,569,7.796345e-08,13312,-3.2300595e-06,0.6984314918518066
0.015819157,27.667798042297363,0.6930933,105,0.0,13440,563,1.3324945e-08,13440,-3.0818628e-06,0.7143020629882812
