policy_loss,explained_variance,fps,total_timesteps,n_updates,policy_entropy,time_elapsed,approxkl,value_loss,clipfrac,serial_timesteps
-7.374119e-05,0.23957931995391846,555,8192,64,0.6929747,15.920331716537476,2.0177444e-07,0.02330013,0.0,8192
-0.000100044184,0.31657499074935913,557,8320,65,0.69296074,16.151888847351074,3.4073656e-07,0.040115315,0.0,8320
-0.00014089432,0.3496311902999878,557,8448,66,0.69290435,16.38236904144287,4.944204e-07,0.01631792,0.0,8448
-0.00010103884,0.22755873203277588,572,8576,67,0.6928465,16.613214015960693,5.1629985e-07,0.018264245,0.0,8576
-4.391186e-06,0.14534175395965576,556,8704,68,0.69286627,16.837932109832764,1.7066516e-07,0.041023012,0.0,8704
-3.945618e-05,0.18978923559188843,569,8832,69,0.6928529,17.06918501853943,9.8631666e-08,0.035305455,0.0,8832
-4.1346066e-05,0.1703541874885559,554,8960,70,0.69280446,17.294951915740967,2.1015015e-07,0.028575428,0.0,8960
-2.8802548e-05,0.17211484909057617,557,9088,71,0.6927768,17.526737928390503,8.663756e-08,0.04142052,0.0,9088
-2.597319e-05,0.26112961769104004,559,9216,72,0.6927514,17.757312059402466,2.022568e-08,0.047292843,0.0,9216
-7.2122086e-05,0.41094332933425903,569,9344,73,0.69270957,17.986912965774536,9.600076e-08,0.011945932,0.0,9344
-8.470612e-06,0.16799747943878174,573,9472,74,0.692715,18.212460041046143,1.3459325e-07,0.043720223,0.0,9472
-6.1524916e-06,0.2035655975341797,558,9600,75,0.69272304,18.436752796173096,1.5631379e-08,0.041282214,0.0,9600
-7.382769e-05,0.29743480682373047,570,9728,76,0.69274616,18.666815996170044,1.9487409e-07,0.04707167,0.0,9728
8.778647e-06,0.3681061267852783,556,9856,77,0.6927066,18.89213800430298,2.4830529e-08,0.013114644,0.0,9856
-8.092029e-06,0.2789565324783325,573,9984,78,0.692715,19.122875928878784,3.3691073e-08,0.035233356,0.0,9984
-2.2802502e-05,0.3391818404197693,554,10112,79,0.69275576,19.347126007080078,1.0226731e-08,0.021769676,0.0,10112
-0.00021245575,0.281619668006897,572,10240,80,0.69279313,19.57889699935913,3.8329392e-07,0.040876277,0.0,10240
-0.00011260365,0.2887524366378784,556,10368,81,0.69280654,19.803432941436768,7.6709216e-07,0.027553909,0.0,10368
-4.9611786e-05,0.3735753893852234,573,10496,82,0.69286066,20.034398078918457,1.5269913e-07,0.025153514,0.0,10496
-3.5157427e-06,0.31271469593048096,558,10624,83,0.69286525,20.258599996566772,2.4184011e-08,0.032284256,0.0,10624
-6.180955e-06,0.33137840032577515,574,10752,84,0.69291997,20.488564014434814,4.970334e-08,0.03717582,0.0,10752
-1.4916353e-05,0.3063342571258545,571,10880,85,0.6928555,20.712422847747803,1.9899609e-08,0.027358355,0.0,10880
