approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,124,43.17108726501465,nan,425,15872,nan,15872
nan,nan,0.0,nan,125,43.47288513183594,nan,398,16000,nan,16000
nan,nan,0.0,nan,126,43.79650521278381,nan,371,16128,nan,16128
nan,nan,0.0,nan,127,44.1419141292572,nan,447,16256,nan,16256
nan,nan,0.0,nan,128,44.428935050964355,nan,455,16384,nan,16384
nan,nan,0.0,nan,129,44.71118903160095,nan,424,16512,nan,16512
nan,nan,0.0,nan,130,45.014137268066406,nan,349,16640,nan,16640
nan,nan,0.0,nan,131,45.38269329071045,nan,432,16768,nan,16768
nan,nan,0.0,nan,132,45.68016314506531,nan,426,16896,nan,16896
nan,nan,0.0,nan,133,45.981237173080444,nan,433,17024,nan,17024
nan,nan,0.0,nan,134,46.277594327926636,nan,422,17152,nan,17152
nan,nan,0.0,nan,135,46.581758975982666,nan,336,17280,nan,17280
nan,nan,0.0,nan,136,46.963019132614136,nan,434,17408,nan,17408
nan,nan,0.0,nan,137,47.259265184402466,nan,437,17536,nan,17536
nan,nan,0.0,nan,138,47.55310916900635,nan,454,17664,nan,17664
nan,nan,0.0,nan,139,47.83540415763855,nan,438,17792,nan,17792
nan,nan,0.0,nan,140,48.12876319885254,nan,475,17920,nan,17920
nan,nan,0.0,nan,141,48.39907789230347,nan,373,18048,nan,18048
nan,nan,0.0,nan,142,48.742881059646606,nan,463,18176,nan,18176
nan,nan,0.0,nan,143,49.01983714103699,nan,474,18304,nan,18304
nan,nan,0.0,nan,144,49.290812969207764,nan,445,18432,nan,18432
nan,nan,0.0,nan,145,49.57891011238098,nan,359,18560,nan,18560
nan,nan,0.0,nan,146,49.93645215034485,nan,429,18688,nan,18688
nan,nan,0.0,nan,147,50.235618114471436,nan,464,18816,nan,18816
nan,nan,0.0,nan,148,50.51215600967407,nan,451,18944,nan,18944
